Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?(Y or N)
5941,LightSpeed AI Labs Pvt Ltd - Machine Learning/DSP/AI,Hyderabad ,Computer Science,"A3 , A7 , A8 , AA",0,0,N
5527,Coffee Beans- AI,Bengaluru ,IT,"A7 , C6",0,0,N
5627,IT Department - Government of Rajasthan - Internet of Things,Jaipur,IT,A7,0,0,N
5625,IT Department - Government of Rajasthan - Web Development,Jaipur,IT,A7,0,0,N
5609,North Eastern Space - Software Development,Umiam ,IT,"A3 , A7 , A8 , AA",0,0,N
5388,Purchasing Power IT & Business Solutions India LLP,Chennai,Computer Science,"A3 , A7 , A8 , AA , Any",0,0,N
5957,UST Global - Machine Learning/DSP/AI,Trivandrum,Computer Science,A3,0,0,N
5615,NIC- Mobile App development,Hyderabad ,IT,Any,0,0,N
5677,NIC- Public Distribution System Operations,Hyderabad ,IT,A7,0,0,N
5626,IT Department - Government of Rajasthan - Mobile Application Development,Jaipur,IT,A7,0,0,N
5446,Prodapt,Chennai,Computer Science,"A7 , C6",0,0,N
5603,Purchasing Power - Web Development/UI Development,Chennai,IT,"A3 , A7 , A8 , AA , AnyA3",0,0,N
5608,"Persistent Systems Ltd.,Verna - Machine Learning",Goa,IT,Any,0,0,N
5587,Ineuron Intelligence - Artificial Intelligence,Bangalore,IT,Any,0,0,N
3935,Silver Touch Technologies Ltd,Ahmedabad ,Computer Science,Any,0,0,N
88,Smartlink Holdings Ltd ( Digisol Systems Ltd ),Goa,Computer Science,"A7 , C6",0,0,N
5531,coreCompetepvt ltd- Web app development,Hyderabad ,IT,Any,0,0,N
